Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"RL","Utilisation des terres","364","Iran (République islamique d')","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","174515","A","Chiffre officiel"
"RL","Utilisation des terres","368","Iraq","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","43505.2","A","Chiffre officiel"
"RL","Utilisation des terres","372","Irlande","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","7028","A","Chiffre officiel"
"RL","Utilisation des terres","352","Islande","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","10300","A","Chiffre officiel"
"RL","Utilisation des terres","376","Israël","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","2207","A","Chiffre officiel"
"RL","Utilisation des terres","380","Italie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","30206.9","I","Valeur imputée"
"RL","Utilisation des terres","388","Jamaïque","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","1099","A","Chiffre officiel"
"RL","Utilisation des terres","392","Japon","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","37796.2","A","Chiffre officiel"
"RL","Utilisation des terres","400","Jordanie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","8932","A","Chiffre officiel"
"RL","Utilisation des terres","398","Kazakhstan","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","272490.2","A","Chiffre officiel"
"RL","Utilisation des terres","404","Kenya","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","58037","I","Valeur imputée"
"RL","Utilisation des terres","417","Kirghizistan","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","19994.9","A","Chiffre officiel"
"RL","Utilisation des terres","296","Kiribati","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","81","A","Chiffre officiel"
"RL","Utilisation des terres","414","Koweït","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","1782","A","Chiffre officiel"
"RL","Utilisation des terres","426","Lesotho","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","3036","A","Chiffre officiel"
"RL","Utilisation des terres","428","Lettonie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","6459.4","A","Chiffre officiel"
"RL","Utilisation des terres","422","Liban","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","1045","A","Chiffre officiel"
"RL","Utilisation des terres","430","Libéria","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","11137","A","Chiffre officiel"
"RL","Utilisation des terres","434","Libye","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","175954","A","Chiffre officiel"
"RL","Utilisation des terres","438","Liechtenstein","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","16","A","Chiffre officiel"
"RL","Utilisation des terres","440","Lituanie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","6530","A","Chiffre officiel"
"RL","Utilisation des terres","442","Luxembourg","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","259","A","Chiffre officiel"
"RL","Utilisation des terres","807","Macédoine du Nord","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","2571","A","Chiffre officiel"
"RL","Utilisation des terres","450","Madagascar","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","58729.5","A","Chiffre officiel"
"RL","Utilisation des terres","458","Malaisie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","33039.6","A","Chiffre officiel"
"RL","Utilisation des terres","454","Malawi","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","11848","A","Chiffre officiel"
"RL","Utilisation des terres","462","Maldives","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","30","A","Chiffre officiel"
"RL","Utilisation des terres","466","Mali","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","124019","I","Valeur imputée"
"RL","Utilisation des terres","470","Malte","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","32","A","Chiffre officiel"
"RL","Utilisation des terres","504","Maroc","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","44655","T","Chiffre non officiel"
"RL","Utilisation des terres","474","Martinique","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","113","A","Chiffre officiel"
"RL","Utilisation des terres","480","Maurice","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","204","A","Chiffre officiel"
"RL","Utilisation des terres","478","Mauritanie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","103070","A","Chiffre officiel"
"RL","Utilisation des terres","175","Mayotte","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","37.4","A","Chiffre officiel"
"RL","Utilisation des terres","484","Mexique","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","196438","A","Chiffre officiel"
"RL","Utilisation des terres","583","Micronésie (États fédérés de)","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","70","A","Chiffre officiel"
"RL","Utilisation des terres","492","Monaco","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","7.492","A","Chiffre officiel"
"RL","Utilisation des terres","496","Mongolie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","156412","A","Chiffre officiel"
"RL","Utilisation des terres","499","Monténégro","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","1381","A","Chiffre officiel"
"RL","Utilisation des terres","500","Montserrat","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","10","A","Chiffre officiel"
"RL","Utilisation des terres","508","Mozambique","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","79938","A","Chiffre officiel"
"RL","Utilisation des terres","104","Myanmar","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","67659","A","Chiffre officiel"
"RL","Utilisation des terres","516","Namibie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","82429","A","Chiffre officiel"
"RL","Utilisation des terres","520","Nauru","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","2","A","Chiffre officiel"
"RL","Utilisation des terres","524","Népal","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","14718","A","Chiffre officiel"
"RL","Utilisation des terres","558","Nicaragua","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","13037","A","Chiffre officiel"
"RL","Utilisation des terres","562","Niger","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","126700","A","Chiffre officiel"
"RL","Utilisation des terres","566","Nigéria","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","92377","A","Chiffre officiel"
"RL","Utilisation des terres","570","Nioué","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","26","A","Chiffre officiel"
"RL","Utilisation des terres","578","Norvège","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","62521.711","A","Chiffre officiel"
"RL","Utilisation des terres","540","Nouvelle-Calédonie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","1858","A","Chiffre officiel"
"RL","Utilisation des terres","554","Nouvelle-Zélande","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","26771","A","Chiffre officiel"
"RL","Utilisation des terres","512","Oman","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","30950","A","Chiffre officiel"
"RL","Utilisation des terres","800","Ouganda","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","24155","A","Chiffre officiel"
