Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","450","Madagascar","5110","Area","6600","Country area","2013","2013","1000 ha","58729.5","A","Official figure"
"RL","Land Use","454","Malawi","5110","Area","6600","Country area","2013","2013","1000 ha","11848","A","Official figure"
"RL","Land Use","458","Malaysia","5110","Area","6600","Country area","2013","2013","1000 ha","33039.6","A","Official figure"
"RL","Land Use","462","Maldives","5110","Area","6600","Country area","2013","2013","1000 ha","30","A","Official figure"
"RL","Land Use","466","Mali","5110","Area","6600","Country area","2013","2013","1000 ha","124019","I","Imputed value"
"RL","Land Use","470","Malta","5110","Area","6600","Country area","2013","2013","1000 ha","32","A","Official figure"
"RL","Land Use","584","Marshall Islands","5110","Area","6600","Country area","2013","2013","1000 ha","18","A","Official figure"
"RL","Land Use","474","Martinique","5110","Area","6600","Country area","2013","2013","1000 ha","113","A","Official figure"
"RL","Land Use","478","Mauritania","5110","Area","6600","Country area","2013","2013","1000 ha","103070","A","Official figure"
"RL","Land Use","480","Mauritius","5110","Area","6600","Country area","2013","2013","1000 ha","204","A","Official figure"
"RL","Land Use","175","Mayotte","5110","Area","6600","Country area","2013","2013","1000 ha","37.4","A","Official figure"
"RL","Land Use","484","Mexico","5110","Area","6600","Country area","2013","2013","1000 ha","196438","A","Official figure"
"RL","Land Use","583","Micronesia (Federated States of)","5110","Area","6600","Country area","2013","2013","1000 ha","70","A","Official figure"
"RL","Land Use","492","Monaco","5110","Area","6600","Country area","2013","2013","1000 ha","7.492","A","Official figure"
"RL","Land Use","496","Mongolia","5110","Area","6600","Country area","2013","2013","1000 ha","156412","A","Official figure"
"RL","Land Use","499","Montenegro","5110","Area","6600","Country area","2013","2013","1000 ha","1381","A","Official figure"
"RL","Land Use","500","Montserrat","5110","Area","6600","Country area","2013","2013","1000 ha","10","A","Official figure"
"RL","Land Use","504","Morocco","5110","Area","6600","Country area","2013","2013","1000 ha","44655","T","Unofficial figure"
"RL","Land Use","508","Mozambique","5110","Area","6600","Country area","2013","2013","1000 ha","79938","A","Official figure"
"RL","Land Use","104","Myanmar","5110","Area","6600","Country area","2013","2013","1000 ha","67659","A","Official figure"
"RL","Land Use","516","Namibia","5110","Area","6600","Country area","2013","2013","1000 ha","82429","A","Official figure"
"RL","Land Use","520","Nauru","5110","Area","6600","Country area","2013","2013","1000 ha","2","A","Official figure"
"RL","Land Use","524","Nepal","5110","Area","6600","Country area","2013","2013","1000 ha","14718","A","Official figure"
"RL","Land Use","528","Netherlands","5110","Area","6600","Country area","2013","2013","1000 ha","4154","A","Official figure"
"RL","Land Use","540","New Caledonia","5110","Area","6600","Country area","2013","2013","1000 ha","1858","A","Official figure"
"RL","Land Use","554","New Zealand","5110","Area","6600","Country area","2013","2013","1000 ha","26771","A","Official figure"
"RL","Land Use","558","Nicaragua","5110","Area","6600","Country area","2013","2013","1000 ha","13037","A","Official figure"
"RL","Land Use","562","Niger","5110","Area","6600","Country area","2013","2013","1000 ha","126700","A","Official figure"
"RL","Land Use","566","Nigeria","5110","Area","6600","Country area","2013","2013","1000 ha","92377","A","Official figure"
